name;numeric_id;
Wennemen;099895;
Winterberg;085563;
Albersloh;572453;
Bad Bentheim Nord;410084;
Dörenthe;556043;
Dülmen;210054;
Höstel Ostenwalde;557066;
Kanalhafen;557041;
Münster Ost;572996;
Münster HBF;210138;
Rheine GVZ;685156;
Rheine;210674;
Rheine Stadtberg;557025;
Salzbergen;210716;
Sendenhorst;572479;
Spelle;214262;
Wolbeck;572446;
Adelebsen;130773;
Bad Gandersheim;130939;
Einbeck Dassel;471045;
Göttingen;130518;
Herzberg;130880;
Holzminden;133306;
Northeim;130567;
Stadtoldendorf ;133322;
Bielefeld HBF;135996;
Brackwede;136036;
Brake;138404;
Brakel;133231;
Gütersloh Hbf;136077;
Gütersloh Nord;556225;
Gütersloh Ost Ubf;556001;
Harsewinkel;556183;
Harsewinkel West;556209;
Paderborn HBF;103598;
Paderborn Nord;103556;
Schloß Holte ;214940;
Sennelager;217018;
Versmold;556167;
Bünde (Westf.);682187;
Detmold;134619;
Herdord;237327;
Horn-Bad Meinberg;134585;
Leopoldstal;339572;
Löhne (Westf.);135897;
Minden-Aminghausen;501064;
Barntrup;134783;
Hartrum;501320;
Hille (West.) Hafen;501361;
Minden (West.);135780;
Minden-Osthafen;501023;
Minden-Oberstadt;501098;
Peine-Ost;529016;
Preußisch Oldendorf;578104;
Remminghausen (Lippe);134593;
Bad Honnef (Rhein);155853;
Bad Hönningen;194852;
Bonn;154864;
Bonn Beuel;856278;
Bonn Beuel Industriebahn;411017;
Derkum;154245;
Euskirchen;154278;
Friedrich Wilhelmshüte;155754;
Königswinter;155820;
Meckenheim (Bz. Köln);155234;
Troisdorf;155721;
Troisdorf West;544015;
Aachen Nord;153692;
Aachen Rothe Erde;153437;
Düren;153312;
Herzogenrath;151902;
Oberbruch (Rheinl.);152132;
Stolberg (Rheinl.) Hbf;153395;
Dormagen;153080;
Kaldenkirchen;151316;
Mönchengladbach-Rheindalen;152181;
Neuss ;151522;
Neuss Hessentor;509612;
Nievenheim;153072;
Ratingen West;81281;
Rheydt Gbf;151720;
Rheydt Geneicken;153222;
Rommerskirchen;153007;
Viersen;151225;
Brühl;154815;
Brühl-Vochem;480046;
Frechen;480053;
Hürth Knapsack;480418;
Hürth-Kalscheuren;154807;
Köln Bbf;154617;
Köln Bonntor;154716;
Köln Eifeltor;154781;
Köln Deutzerfeld;155556;
Köln Eifeltor Ubf;154799;
Köln Deutz Hafen;480103;
Köln Godorf Hafen;480137;
Köln Kalk Nord;155515;
Köln Mülheim;155440;
Köln Niehl;480186;
Sindorf;861542;
Wesseling;480210;
Bergisch Gladbach;156398;
Gremberg;155655;
Leverkusen Bayerwerk;505057;
Leverkusen Schlebusch;081877;
Düsseldorf Abstellbahnhof;129304;
Düsseldorf Hafen;080986;
Düsseldorf Derendorf;081034;
Düsseldorf Eller;081224;
Düsseldorf Grafenberg;081315;
Düsseldorf Rath;081273;
Düsseldorf Reisholz;081158;
Hilden;081232;
Langenfeld;081182;
Monheim;495036;
Monheim Blee;495044;
Duisburg Hafen;103218;
Duisburg Hamborn;103028;
Duisburg Hochfeld Süd;103082;
Diusburg Wedau;102426;
Kempen;150300;
Krefeld Güterbahnhof;150409;
Krefeld Nord;486903;
Krefeld Ost Hafen;481556;
Krefeld Hüls;486118;
Krefeld Linn;150474;
Krefeld Uerdingen;150516;
Millingen;150979;
Moers;151035;
Rheinhausen;151126;
Rheinkamp;150995;
Trompet;151068;
Tönisvorst;486068;
Walsum;103036;
Bottrop Süd;105352;
Dinslaken;102699;
Emmerich;102889;
Oberhausen HBF;102640;
Oberhausen West;103093;
Oberhausen Osterfeld Süd;100230;
Oberhausen Sterkrade;102673;
Wesel;102756;
Datteln;100131;
Essen HBF;101857;
Essen Nord;101709;
Essen Vogelheim;101550;
Essen Kray-Nord;101667;
Gelsenkirchen Hafen;100446;
Gelsenkirchen Bismarck;100438;
Gelsenkirche  Horst Nord;100503;
Gelsenkirchen Schalke;101311;
Gelsenkirche Wattenscheid;101642;
Gladbeck West;100198;
Hattingen;102012;
Marl Sinsen;101378;
Mülheim Speldorf;102624;
Mülheim Styrum;102236;
Recklinghausen Ost;100156;
Recklinghausen Süd;101410;
sythen;212001;
Westerholt;100172;
Bochum HBF;101808;
Bochum Nord;101170;
Bochum Lear;101923;
Bochum Langendreer;101154;
Bochum Präsident;101428;
Castrop-Rauxel HBF;100362;
Dortmund Betriebsbahnhof;103390;
Dortmunderfeld;100875;
Dortmund Hardernberghafen;434050;
Dortmund Mengede;100347;
dortmund Nord;434175;
Dortmund Obereving;100313;
Dortmund Stockheide;434100;
Dortmund Westerholz;434035;
Dortmund Zinkhütte;318899;
Herne;100396;
Herne Kraftwerk;573071;
Lünen Süd;100040;
Wanne Brennerstr.;573048;
Wanne-Eickel HBF;101287;
Wanne Herzogstr.;573055;
Wanne Osthafen;573022;
Wanne Westhafen;573014;
Wanne Übergabebahnhof;573030;
Ahlen;136168;
Anröchte;572693;
Beckum;572586;
Beckum Ost;572594;
Belecke;572735;
Benninghausen;103705;
Bergkamen;100099;
Bestwig;085183;
Bockum-Hövel;210534;
Bönen;103853;
diestedde;572610;
Enniger;572495;
Ennigerloh;572529;
Erwitte;572685;
Hachen;510040;
Hamm RLG;539520;
Hamm RBF;100065;
Liesborn;572636;
Lippstadt Nord;572651;
Neheim Hüsten West;510024;
Neubeckum;136127;
Pelckum;100081;
Rüthen;572909;
Sundern;510065;
Uelde;572719;
Uentrop;539510;
Unna Königsborn;100743;
Wadersloh;572628;
Warstein;572750;
Wennemen;099895;
Winterberg;085563;
Albersloh;572453;
Bad Bentheim Nord;410084;
Dörenthe;556043;
Dülmen;210054;
Höstel Ostenwalde;557066;
Kanalhafen;557041;
Münster Ost;572996;
Münster HBF;210138;
Rheine GVZ;685156;
Rheine;210674;
Rheine Stadtberg;557025;
Salzbergen;210716;
Sendenhorst;572479;
Spelle;214262;
Wolbeck;572446;
Adelebsen;130773;
Bad Gandersheim;130939;
Einbeck Dassel;471045;
Göttingen;130518;
Herzberg;130880;
Holzminden;133306;
Northeim;130567;
Stadtoldendorf ;133322;
Bielefeld HBF;135996;
Brackwede;136036;
Brake;138404;
Brakel;133231;
Gütersloh HBF;136077;
Gütersloh nord;556225;
Gütersloh Ost Ubf;556001;
Harsewinkel;556183;
Harsewinkel West;556209;
Paderborn HBF;103598;
Paderborn Nord;103556;
Schloß Holte ;214940;
Sennelager;217018;
Versmold;556167;
