numeric_id,name
8000261,München Hbf
8000262,München Ost
8000263,Münster(Westf)Hbf
8000264,Mosbach-Neckarelz
8000265,Neckargemünd
8000266,Wuppertal Hbf
8000267,Neuenmarkt-Wirsberg
8000268,Wunstorf
8000269,Neukirchen(b Sulzb)
8000271,Neumünster
8000272,Neunkirchen(Saar)Hbf
8000273,Muldenberg Floßplatz
8000274,Neuss Hbf
8000275,Neustadt(Weinstr)Hbf
8000276,Neuwied
8000277,Nidda
8000278,Niederlahnstein
8000279,Nienburg(Weser)
8000280,Nördlingen
8000281,Frankfurt(M)Flughafen
8000282,Nordstemmen
8000283,Northeim(Han)
8000284,Nürnberg Hbf
8000285,Rödermark-Ober Roden
8000286,Oberhausen Hbf
8000287,Oberkotzau
8000288,Wiesbaden-Biebrich
8000289,Zwickau Zentrum
8000290,Offenburg
8000291,Oldenburg(Oldb)
8000292,Zwickau Stadthalle
8000294,Osnabrück Hbf
8000295,Osterburken
8000297,Paderborn Hbf
8000298,Passau Hbf
8000299,Pforzheim Hbf
8000301,Plattling
8000302,Plochingen
8000303,Igel(Gr)
8000304,Quakenbrück
8000306,Rastatt
8000307,Recklinghausen Hbf
8000308,Ludwigshafen(Rhein) BASF Mitte
8000309,Regensburg Hbf
8000310,Remagen
8000311,Remscheid-Lennep
8000312,Rendsburg
8000313,Renningen
8000314,Reutlingen Hbf
8000315,Rheda-Wiedenbrück
8000316,Rheine
8000317,Rheinhausen
8000318,Rheydt Hbf
8000319,Rohrbach(Saar)
8000320,Rosenheim
8000321,Rotenburg(Wümme)
8000322,Rottweil
8000323,Saarbrücken Hbf
8000324,Boppard Süd
8000325,Salzgitter-Ringelheim
8000326,Schifferstadt
8000328,Schnabelwaid
8000329,Schwäbisch Gmünd
8000330,Schwäbisch Hall-Hessental
8000331,Andernach
8000332,Frankenthal Hbf
8000333,Hausach
8000334,Jübek
8000335,Leese-Stolzenau
8000336,Leutkirch
8000337,Marburg(Lahn)
8000338,Mindelheim
8000339,Mühlacker
8000342,Weetzen
8000343,Schöneck(Vogtl) Ferienpark
8000344,Wittingen
8000346,Borken(Westf)
8000347,Glauburg-Stockheim
8000348,Stolberg(Rheinl)Hbf
8000349,Offenbach(Main)Hbf
8000350,Alsfeld(Oberhess)
8000351,Altenkirchen(Westerwald)
8000352,Bad Gandersheim
8000353,Balingen(Württ)
8000354,Bassum
8000355,Bergheim(Erft)
8000356,Villingen-Schwenningen Eisstadion
8000357,Bierbach
8000358,Bochum-Langendreer
8000359,Bodenheim
8000360,Bürstadt
8000362,Dieburg
8000363,Dieringhausen
8000364,Vienenburg
8000365,Dombühl
8000366,Villingen(Schwarzw)
8000367,Duisburg-Meiderich Süd
8000368,Wabern(Bz Kassel)
8000369,Eberbach
8000370,Ehrang
8000371,Einöd(Saar)
8000372,Enkenbach
8000373,Eppingen
8000374,Freinsheim
8000375,Gau Algesheim
8000376,Germersheim
8000377,Weinheim(Bergstr)
8000378,Wemmetsweiler Rathaus
8000379,Wittlich Hbf
8000380,Goldshöfe
8000381,Grötzingen
8000382,Gronau(Westf)
8000383,Wetzlar
8000384,Groß-Umstadt Wiebelsbach
8000385,Gunzenhausen
8000386,Haiger
8000387,Hergatz
8000388,Hilden
8000389,Hochdorf(b Horb)
8000390,Hochneukirch
8000391,Holzminden
8000392,Holzwickede
8000393,Villingen-Schwenningen Hammerstatt
8000400,Hungen
8000402,Karthaus
8000403,Aachen Süd(Gr)
8000404,Aachen West
8000406,Aachen-Rothe Erde
8000409,Kempen(Niederrhein)
8000410,Abensberg
8000412,Achern
8000413,Achim
8000414,Achmer
8000418,Adelebsen
8000419,Adelschlag
8000420,Adelsdorf(Mittelfr)
8000423,Adelsheim Nord
8000424,Adelsheim Ost
8000427,Kirchen
8000430,Kaarster See
8000431,Affaltrach
8000432,Kaarst Mitte/Holzbüttgen
8000433,Agatharied
8000434,Agathenburg
8000435,Kirchhain(Bz Kassel)
8000436,Aha
8000437,Ahaus
8000438,Kaarst IKEA
8000440,Schnega
8000441,Ahlen(Westf)
8000442,Ahlhorn
8000443,Ahlten
8000445,Soltendieck
8000446,Ahrensburg
8000448,Ahrweiler
8000449,Ahrweiler Markt
8000451,Aich(Niederbay)
8000452,Aichach
8000453,Freiburg Messe/Universität
8000454,Aichstetten
8000456,Tuttlingen Nord
8000458,Esens ZOB
8000459,Ainring
8000462,Münster-Albachten
8000463,Albbruck
8000466,Albersweiler(Pfalz)
8000468,Albig
8000469,Nürnberg-Herrnhütte
8000471,Albshausen
8000473,Albstadt-Ebingen
8000474,Albstadt-Laufen Ort
8000475,Albstadt-Lautlingen
8000477,Aldekerk
8000479,Kitzingen
8000480,Ahrensburg-Gartenholz
8000481,Aldingen(b Spaichingen)
8000482,Aletshausen
8000483,Alfeld(Leine)
8000488,Algermissen
8000489,Aligse
8000491,Altenglan
8000492,Allendorf(Dillkr)
8000496,Allensbach
8000498,Allersberg(Rothsee)
8000499,Allmendingen
8000500,Alpen
8000501,Alpirsbach
8000502,Alsdorf-Annapark
8000503,Biblis
8000504,Altdorf West
8000505,Alsenz
8000506,Alsheim
8000507,Alsdorf-Busch
8000508,Altbach
8000509,Altdorf(b Nürnberg)
8000511,Alte Veste
8000512,Hamburg Alte Wöhr
8000513,Altena(Westf)
8000514,Altenahr
8000515,Altenau(Bay)
8000517,Altenbamberg
8000518,Altenberge
8000520,Felsberg-Altenbrunslar
8000522,Hude
8000524,Altenerding
8000525,Altenfeld(Rhön)
8000526,Altengörs
8000530,Altenhasungen
8000532,Lennestadt-Altenhundem
8000533,Altenmarkt(Alz)
8000534,Muhr a See
8000537,Altenseelbach
8000538,Altenstadt(Hess)
8000539,Altenstadt(Iller)
8000540,Altenstadt(Waldnaab)
8000544,Altglashütten-Falkau
8000545,Althegnenberg
8000546,Altheim(Hess)
8000547,Lauterecken-Grumbach
8000553,Altmorschen
8000555,Altötting
8000556,Altomünster
8000558,Alzey Süd
8000559,Altshausen
8000561,Altstädten(Allgäu)
8000562,Alttann
8000563,Lebach
8000566,Amberg
8000569,Münster-Amelsbüren
8000571,Lippstadt
8000575,Amorbach
8000576,Ampfing
8000577,Amstetten(Württ)
8000578,Hannover Anderten-Misburg
8000579,Angermund
8000580,Angersbach
8000582,Annweiler am Trifels
8000584,Anrath
8000585,Langenlonsheim
8000586,Langwedel
8000588,Anwanden
8000589,Anzefahr
8000590,Anzenkirchen
8000591,Apach(fr)
8000595,Nottuln-Appelhülsen
8000596,Appenweier
8000597,Ardey
8000599,Arfurt(Lahn)
8000601,Arloff
8000602,Armsheim
8000603,Arnbach
8000605,Arnsberg(Westf)
8000606,Arnschwang
8000609,Bad Arolsen
8000611,Arsbeck
8000613,Arzberg(Oberfr)
8000615,Mainz-Kastel
8000618,Aschaffenburg Hochschule
8000619,Aschaffenburg Süd
8000621,Aschau(Chiemgau)
8000623,Ascheberg(Westf)
8000624,Aschendorf
8000625,Asselheim
8000627,Ashausen
8000630,Asperg
8000631,Mannheim-Friedrichsfeld
8000632,Assenheim(Oberhess)
8000633,Aßlar
8000634,Aßling(Oberbay)
8000635,Assmannshausen
8000638,Attendorn
8000640,Miltenberg
8000643,Au im Murgtal
8000644,Moers
8000647,Aue-Wingeshausen
8000649,"Auerbach(b Mosbach, Baden)"
8000653,Aufhausen(b Erding)
8000655,Aufhausen(Württ)
8000657,Auggen
8000658,Augsburg Haunstetterstraße
8000659,Augsburg Messe
8000660,Augsburg Morellstr.
8000661,Augsburg-Hochzoll
8000662,Augsburg-Oberhausen
8000663,Monsheim
8000664,Augustfehn
8000667,Montabaur
8000668,Aumenau
8000669,Aumühle
8000671,Auringen-Medenbach
8000672,Außenried
8000674,Auw an der Kyll
8000675,Aying
8000677,Hückelhoven-Baal
8000681,Babstadt
8000683,Bacharach
8000685,Bachern
8000686,Bachheim
8000687,Mülheim(Ruhr)Styrum
8000688,Neufahrn(Niederbay)
8000689,Bad Abbach
8000690,Bad Aibling
8000691,Bad Bergzabern
8000694,Bad Breisig
8000696,Bad Aibling Kurpark
8000697,Bad Driburg(Westf)
8000698,Bad Dürkheim
8000700,Bad Empfing
8000701,Bad Ems
8000702,Bad Ems West
8000704,Bad Friedrichshall-Kochendorf
8000707,Bad Griesbach(Schwarzwald)
8000708,Bad Dürkheim-Trift
8000710,Bad Höhenstadt
8000711,Bad Hönningen
8000712,Bad Homburg
8000713,Bad Honnef(Rhein)
8000714,Bad Kissingen
8000715,Bad König
8000716,Bad Kohlgrub
8000717,Bad Kohlgrub Kurhaus
8000718,Bad Krozingen
8000720,Neumarkt-St Veit
8000721,Bad Liebenzell
8000724,Bad Mergentheim
8000725,Bad Münder(Deister)
8000726,Bad Münster a Stein
8000727,Bad Münstereifel
8000728,Bad Nauheim
8000729,Bad Neuenahr
8000730,Bad Neustadt(Saale)
8000731,Bad Niedernau
8000732,Bad Oeynhausen
8000733,Bad Oeynhausen Süd
8000734,Bad Peterstal
8000735,Bad Pyrmont
8000736,Bad Rappenau
8000737,Bad Reichenhall
8000738,Bad Reichenhall-Kirchberg
8000739,Bad Sachsa
8000740,Bad Salzdetfurth
8000741,Bad Salzhausen
8000742,Boppard-Bad Salzig
8000743,Bad Salzschlirf
8000744,Bad Salzuflen
8000745,Bad Sassendorf
8000746,Bad Schussenried
8000749,Bad Schwartau
8000750,Bad Sebastiansweiler-Belsen
8000751,Bad Segeberg
8000752,Bad Soden(Taunus)
8000753,Bad Sooden-Allendorf
8000754,Bad St Peter Süd
8000755,Bad St Peter-Ording
8000756,Bad Steben
8000757,Bad Teinach-Neubulach
8000758,Bad Tölz
8000759,Bad Salzdetfurth Solebad
8000760,Bad Vilbel
8000761,Bad Vilbel Süd
8000763,Bad Waldsee
8000764,Bad Wildungen
8000765,Bad Wimpfen
8000766,Bad Wimpfen-Hohenstadt
8000767,Bad Windsheim
8000768,Bad Wörishofen
8000769,Bad Wurzach
8000770,Bad Zwischenahn
8000771,Baden-Baden Haueneberstein
8000772,Baddeckenstedt
8000773,Baden(Verden)
8000774,Baden-Baden
8000775,Baden-Baden Rebland
8000778,Bäumenheim
8000779,Hamburg-Allermöhe
8000780,Hamburg-Bahrenfeld
8000781,Baierbrunn
8000782,Baiersbronn Bf
8000783,Baiersdorf
8000784,Balbersdorf
8000785,Baldham
8000786,Balduinstein
8000787,Balgheim
8000788,Balingen Süd
8000789,Baiersbronn Schule
8000792,Baltersweiler
8000793,Balve
8000794,Bammental
8000796,Banteln
8000797,Bantorf
8000800,Norden
8000801,Bardowick
8000802,Barbelroth
8000804,Bargteheide
8000805,Hamburg-Barmbek
8000807,Barnstorf(Han)
8000808,Barnten
8000810,Barrien
8000812,Barsinghausen
8000815,Hemmoor
8000818,Ochsenfurt
8000821,Batzenhäusle
8000822,Batzhausen
8000823,Bauerbach
8000826,Baunach
8000827,Bavendorf
8000828,Bayerbach
8000830,Bayerisch Eisenstein
8000831,Bayerisch Gmain
8000832,Bayerwerk
8000833,Bayreuth-St Georgen
8000834,Bayrischzell
8000840,Beckingen(Saar)
8000842,Bedburg-Hau
8000846,Beelen
8000850,Behringersdorf
8000851,Beienheim
8000853,Opladen
8000858,Beimerstetten
8000859,Malsfeld-Beiseförth
